Datetime,Close,High,Low,Open,Volume,SMA_100,SMA_20,MACD,Signal_Line,Composite_Score,YZ_Vol,Risk_Leverage,Entry_Price,Exit_Price,Signal_Core,Micro_PnL_TWD,Buy_PnL_TWD,Seller_PnL_TWD,Spread_PnL_TWD
2025-12-30 01:00:00+00:00,28684.060546875,28729.1796875,28553.640625,28723.8203125,0,27999.0507421875,28502.0984375,196.33015261015316,188.8116624451999,1.0,0.05100584799111932,3.0,28720.7109375,30895.779296875,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-30 02:00:00+00:00,28677.3203125,28726.890625,28644.1796875,28720.7109375,0,28010.49955078125,28521.26845703125,186.0221369939136,188.25375735494265,1.0,0.05144835496963833,3.0,28677.4609375,30908.390625,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-30 03:00:00+00:00,28766.990234375,28772.490234375,28668.220703125,28677.4609375,0,28023.6889453125,28547.78095703125,182.97930215077577,187.1988663141093,1.0,0.055723812739265216,3.0,28767.859375,30892.599609375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-30 04:00:00+00:00,28753.1796875,28802.919921875,28724.220703125,28767.859375,0,28036.65583984375,28569.471484375,177.40838447850183,185.24076994698783,1.0,0.05242222002877212,3.0,28755.23046875,30881.130859375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-30 05:00:00+00:00,28832.880859375,28833.029296875,28752.91015625,28755.23046875,0,28050.76294921875,28595.6375,177.37988566001877,183.66859308959403,1.0,0.05567726700784875,3.0,28723.490234375,30891.560546875,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-31 01:00:00+00:00,28861.439453125,28978.599609375,28687.900390625,28723.490234375,0,28063.066640625,28619.833984375,177.6143127462783,182.4577370209309,1.0,0.06569617087407818,3.0,28901.939453125,30771.91015625,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-31 02:00:00+00:00,28898.560546875,28940.939453125,28848.140625,28901.939453125,0,28075.8978515625,28647.43603515625,178.7351128110531,181.71321217895536,1.0,0.06592456407631281,3.0,28901.69921875,30688.0390625,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-31 03:00:00+00:00,28954.30078125,29006.609375,28901.69921875,28901.69921875,0,28089.5299609375,28677.5470703125,182.02287956053624,181.77514565527156,1.0,0.06658911855845803,3.0,28954.5,30670.0703125,1,85528.515625,211946.2890625,90278.515625,106223.14453125
2025-12-31 04:00:00+00:00,28963.029296875,29008.400390625,28949.259765625,28954.5,0,28103.91884765625,28709.30654296875,183.22072222539646,182.06426096929656,1.0,0.06664237178741256,3.0,28962.25,30767.359375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-31 05:00:00+00:00,28984.609375,29009.810546875,28938.580078125,28962.25,0,28118.5409375,28739.6259765625,183.79270522093793,182.40994981962484,1.0,0.06607213068743736,3.0,29016.6796875,30838.2109375,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-02 01:00:00+00:00,29094.029296875,29167.9609375,29007.75,29016.6796875,0,28131.72412109375,28771.12744140625,190.87499101976937,184.10295805965376,1.0,0.06811775535430262,3.0,29097.359375,31168.759765625,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-02 02:00:00+00:00,29251.509765625,29274.1796875,29095.619140625,29097.359375,0,28147.6403125,28809.4224609375,206.81112137760283,188.6445907232436,1.0,0.07619805691515509,3.0,29250.2890625,31346.0703125,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-02 03:00:00+00:00,29281.9609375,29325.16015625,29212.560546875,29250.2890625,0,28163.2147265625,28845.991015625,219.3690250112013,194.78947758083515,1.0,0.0761966995545614,3.0,29284.669921875,31333.640625,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-02 04:00:00+00:00,29347.0390625,29363.4296875,29242.189453125,29284.669921875,0,28179.0719140625,28886.033984375,231.89932386931468,202.2114468385311,1.0,0.07609405577630987,3.0,29306.470703125,31438.560546875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-02 05:00:00+00:00,29357.390625,29358.599609375,29305.3203125,29306.470703125,0,28195.103828125,28928.38154296875,239.89954791632772,209.74906705409046,1.0,0.07331212527467958,3.0,29779.69921875,31428.630859375,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-05 01:00:00+00:00,30078.349609375,30221.599609375,29779.69921875,29779.69921875,0,28217.88703125,28993.7095703125,300.94602935155126,227.98845951358265,1.0,0.09933490641679747,3.0,30073.640625,31399.640625,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-05 02:00:00+00:00,30196.189453125,30207.419921875,30054.029296875,30073.640625,0,28242.24751953125,29065.85849609375,354.7452142583279,253.33981046253174,1.0,0.09929083259253384,3.0,30193.41015625,31463.130859375,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-05 03:00:00+00:00,30217.26953125,30339.3203125,30151.109375,30193.41015625,0,28267.5230078125,29137.86650390625,394.53449397294753,281.5787471646149,1.0,0.09934713103314534,3.0,30177.580078125,31587.94921875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-05 04:00:00+00:00,30139.26953125,30242.099609375,30107.080078125,30177.580078125,0,28291.5262109375,29205.3759765625,414.99008925964154,308.2610155836203,1.0,0.10176436364278742,2.947986792833078,30140.650390625,31727.189453125,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-05 05:00:00+00:00,30080.529296875,30159.419921875,30066.08984375,30140.650390625,0,28314.82791015625,29270.99541015625,421.6014903545147,330.9291105377992,1.0,0.10145382186264824,2.957010337236487,29933.650390625,31652.859375,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-06 01:00:00+00:00,30220.630859375,30277.19921875,29933.650390625,29933.650390625,0,28338.87791015625,29347.82392578125,433.15298063848604,351.3738845579366,1.0,0.11538083553735926,2.600085175348403,30221.529296875,31511.7890625,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-06 02:00:00+00:00,30375.66015625,30387.9609375,30197.83984375,30221.529296875,0,28364.41662109375,29432.74091796875,449.63408667278054,371.0259249809054,1.0,0.11290801837660011,2.657030070259157,30380.9609375,31721.98046875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-06 03:00:00+00:00,30378.099609375,30471.390625,30372.869140625,30380.9609375,0,28390.2497265625,29513.29638671875,457.6171992090749,388.34417982653935,1.0,0.11478942207338932,2.613481230075349,30420.4609375,31640.44921875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-06 04:00:00+00:00,30474.48046875,30511.810546875,30372.9296875,30420.4609375,0,28416.34173828125,29599.36142578125,466.3452653433924,403.94439692991,1.0,0.11230469780072233,2.67130410281083,30432.970703125,31704.119140625,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-06 05:00:00+00:00,30447.01953125,30527.73046875,30431.720703125,30432.970703125,0,28441.557734375,29680.068359375,465.6784017410064,416.29119789212933,1.0,0.11350753110935415,2.6429964344037873,30412.3203125,31736.58984375,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-07 01:00:00+00:00,30370.810546875,30527.900390625,30306.16015625,30412.3203125,0,28464.1232421875,29755.5369140625,453.7697047036272,423.786899254429,1.0,0.11554981140193447,2.5962829048371563,30332.619140625,31582.060546875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-07 02:00:00+00:00,30460.58984375,30468.830078125,30315.359375,30332.619140625,0,28486.72533203125,29833.63837890625,446.43024546831657,428.3155684972065,1.0,0.11506901643956907,2.6071310008767767,30462.890625,31509.6796875,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-07 03:00:00+00:00,30511.630859375,30570.259765625,30419.23046875,30462.890625,0,28509.37884765625,29911.5048828125,439.66408069885074,430.5852709375354,1.0,0.11514923549129585,2.6053147354389257,30511.130859375,31348.439453125,0,-250.0,-2500.0,4500.0,-1000.0
2026-01-07 04:00:00+00:00,30385.9296875,30517.51953125,30336.0390625,30511.130859375,0,28530.83294921875,29982.64990234375,419.3250936706463,428.3332354841576,1.0,0.12520485950706214,2.396073133112526,30383.380859375,31230.560546875,0,-200.0,-2000.0,3600.0,-800.0
2026-01-07 05:00:00+00:00,30378.58984375,30432.94921875,30370.2890625,30383.380859375,0,28551.7657421875,30052.34892578125,398.0258417263758,422.2717567326013,1.0,0.1260811870801736,2.3794192214357355,30330.580078125,31301.69921875,0,-200.0,-2000.0,3600.0,-800.0
2026-01-08 01:00:00+00:00,30451.970703125,30533.080078125,30268.359375,30330.580078125,0,28573.83525390625,30120.24599609375,382.65623036147736,414.34865145837665,1.0,0.12693641229914054,2.363388050491098,30454.2109375,31763.19921875,0,-200.0,-2000.0,3600.0,-800.0
2026-01-08 02:00:00+00:00,30364.240234375,30593.490234375,30346.140625,30454.2109375,0,28595.2340625,30175.88251953125,359.2553153421286,403.3299842351271,1.0,0.1302022147342015,2.304108271986222,30365.19921875,31822.919921875,0,-200.0,-2000.0,3600.0,-800.0
2026-01-08 03:00:00+00:00,30423.76953125,30513.0390625,30356.140625,30365.19921875,0,28617.40416015625,30232.97294921875,341.57596326465864,390.97918004103343,1.0,0.13009840264848124,2.3059468363388254,30462.3203125,31813.3203125,0,-200.0,-2000.0,3600.0,-800.0
2026-01-08 04:00:00+00:00,30415.83984375,30475.419921875,30404.33984375,30462.3203125,0,28639.39365234375,30286.41298828125,323.1994478106353,377.42323359495384,1.0,0.13263557741280818,2.2618365739555335,30451.169921875,31723.25,0,-200.0,-2000.0,3600.0,-800.0
2026-01-08 05:00:00+00:00,30433.8203125,30456.3203125,30393.119140625,30451.169921875,0,28661.99595703125,30340.23447265625,306.5530477647699,363.24919642891706,1.0,0.13371891083353854,2.243512141476072,30370.44921875,31705.419921875,0,-200.0,-2000.0,3600.0,-800.0
2026-01-09 01:00:00+00:00,30104.26953125,30370.44921875,29925.490234375,30370.44921875,0,28680.24724609375,30341.53046875,263.7285632101448,343.34506978516265,1.0,0.13749850415767473,2.1818419177562736,30104.009765625,31795.439453125,0,-200.0,-2000.0,3600.0,-800.0
